EstablishmentID,InspectionID,Ins_TypeDesc,EstablishmentName,PlaceName,Address,Address2,City,State,Zip,TypeDescription,InspectionDate,score,Grade,NameSearch,Intersection,OBJECTID
113860,1637899,COMPLAINT,CAPTAIN CRABS,,4112 OUTER LOOP,,LOUISVILLE,KY,40219,FOOD SERVICE,2021/10/21 00:00:00,,,CAPTAIN CRABS,,8019
113860,1635033,REGULAR,CAPTAIN CRABS,,4112 OUTER LOOP,,LOUISVILLE,KY,40219,FOOD SERVICE,2021/11/08 00:00:00,89,A,CAPTAIN CRABS,,8020
113860,1631093,OTHER,CAPTAIN CRABS,,4112 OUTER LOOP,,LOUISVILLE,KY,40219,FOOD SERVICE,2021/10/04 00:00:00,96,,CAPTAIN CRABS,,8021
113862,1635405,REGULAR,SHARETEA MIDDLETOWN,,13210 SHELBYVILLE RD,,LOUISVILLE,KY,40223,FOOD SERVICE,2021/11/09 00:00:00,99,A,SHARETEA MIDDLETOWN,,8022
113862,1631125,OTHER,SHARETEA MIDDLETOWN,,13210 SHELBYVILLE RD,,LOUISVILLE,KY,40223,FOOD SERVICE,2021/10/07 00:00:00,100,,SHARETEA MIDDLETOWN,,8023
113862,1676966,REGULAR,SHARETEA MIDDLETOWN,,13210 SHELBYVILLE RD,,LOUISVILLE,KY,40223,FOOD SERVICE,2022/06/03 00:00:00,97,A,SHARETEA MIDDLETOWN,,8024
113863,1631152,REGULAR,DOMINO'S PIZZA #1434,,8054 NEW LAGRANGE RD STE A,,LOUISVILLE,KY,40222,FOOD SERVICE,2021/10/11 00:00:00,99,A,DOMINO'S PIZZA #1434,,8025
113863,1631150,OTHER,DOMINO'S PIZZA #1434,,8054 NEW LAGRANGE RD STE A,,LOUISVILLE,KY,40222,FOOD SERVICE,2021/10/11 00:00:00,99,,DOMINO'S PIZZA #1434,,8026
113863,1660529,REGULAR,DOMINO'S PIZZA #1434,,8054 NEW LAGRANGE RD STE A,,LOUISVILLE,KY,40222,FOOD SERVICE,2022/03/23 00:00:00,99,A,DOMINO'S PIZZA #1434,,8027
113863,1701544,REGULAR,DOMINO'S PIZZA #1434,,8054 NEW LAGRANGE RD STE A,,LOUISVILLE,KY,40222,FOOD SERVICE,2022/09/13 00:00:00,97,A,DOMINO'S PIZZA #1434,,8028
113866,1631156,OTHER,EGGOHOLIC,,1947 S HURSTBOURNE PKWY,,LOUISVILLE,KY,40220,FOOD SERVICE,2021/10/11 00:00:00,100,,EGGOHOLIC,,8029
113866,1634316,REGULAR,EGGOHOLIC,,1947 S HURSTBOURNE PKWY,,LOUISVILLE,KY,40220,FOOD SERVICE,2021/11/04 00:00:00,100,A,EGGOHOLIC,,8030
113866,1669544,REGULAR,EGGOHOLIC,,1947 S HURSTBOURNE PKWY,,LOUISVILLE,KY,40220,FOOD SERVICE,2022/05/03 00:00:00,99,A,EGGOHOLIC,,8031
113867,1631160,OTHER,MCALISTER'S DELI #102222,,9050 DIXIE HWY STE 105,,LOUISVILLE,KY,40258,FOOD SERVICE,2021/10/13 00:00:00,98,,MCALISTER'S DELI #102222,,8032
113867,1641315,REGULAR,MCALISTER'S DELI #102222,,9050 DIXIE HWY STE 105,,LOUISVILLE,KY,40258,FOOD SERVICE,2021/12/09 00:00:00,95,A,MCALISTER'S DELI #102222,,8033
113867,1677246,REGULAR,MCALISTER'S DELI #102222,,9050 DIXIE HWY STE 105,,LOUISVILLE,KY,40258,FOOD SERVICE,2022/06/06 00:00:00,99,A,MCALISTER'S DELI #102222,,8034
113900,1633240,REGULAR,SHAAN FOOD MART,,4502 CANE RUN RD,,LOUISVILLE,KY,40216,PRE-PACKAGED RETAIL,2021/10/31 00:00:00,93,,SHAAN FOOD MART,,8035
113901,1632833,OTHER,EL REY 3,,8023 DIXIE HWY,,LOUISVILLE,KY,40258,"RETAIL-FOOD  10,000 SQ FT OR LESS",2021/10/04 00:00:00,98,,EL REY 3,,8036
113901,1632839,OTHER,EL REY 3,,8023 DIXIE HWY,,LOUISVILLE,KY,40258,"RETAIL-FOOD  10,000 SQ FT OR LESS",2021/10/04 00:00:00,99,,EL REY 3,,8037
113901,1638619,REGULAR,EL REY 3,,8023 DIXIE HWY,,LOUISVILLE,KY,40258,"RETAIL-FOOD  10,000 SQ FT OR LESS",2021/11/29 00:00:00,98,A,EL REY 3,,8038
113901,1638620,REGULAR,EL REY 3,,8023 DIXIE HWY,,LOUISVILLE,KY,40258,"RETAIL-FOOD  10,000 SQ FT OR LESS",2021/11/29 00:00:00,89,,EL REY 3,,8039
113901,1640657,FOLLOWUP,EL REY 3,,8023 DIXIE HWY,,LOUISVILLE,KY,40258,"RETAIL-FOOD  10,000 SQ FT OR LESS",2021/12/07 00:00:00,96,,EL REY 3,,8040
113901,1675818,REGULAR,EL REY 3,,8023 DIXIE HWY,,LOUISVILLE,KY,40258,"RETAIL-FOOD  10,000 SQ FT OR LESS",2022/05/31 00:00:00,97,A,EL REY 3,,8041
113901,1675819,REGULAR,EL REY 3,,8023 DIXIE HWY,,LOUISVILLE,KY,40258,"RETAIL-FOOD  10,000 SQ FT OR LESS",2022/05/31 00:00:00,94,,EL REY 3,,8042
113903,1638347,REGULAR,JERSEY MIKE'S SUBS,,3013 POPLAR LEVEL RD,,LOUISVILLE,KY,40217,FOOD SERVICE,2021/11/22 00:00:00,97,A,JERSEY MIKE'S SUBS,,8043
113903,1632857,OTHER,JERSEY MIKE'S SUBS,,3013 POPLAR LEVEL RD,,LOUISVILLE,KY,40217,FOOD SERVICE,2021/10/14 00:00:00,98,,JERSEY MIKE'S SUBS,,8044
113903,1676583,REGULAR,JERSEY MIKE'S SUBS,,3013 POPLAR LEVEL RD,,LOUISVILLE,KY,40217,FOOD SERVICE,2022/06/02 00:00:00,97,A,JERSEY MIKE'S SUBS,,8045
113904,1632862,OTHER,LSM THE GRAINWRIGHT,,1001 LOGAN ST STE 116,,LOUISVILLE,KY,40204,RETAIL BAKERY,2021/10/14 00:00:00,99,,LSM THE GRAINWRIGHT,,8046
113904,1637922,COMPLAINT,LSM THE GRAINWRIGHT,,1001 LOGAN ST STE 116,,LOUISVILLE,KY,40204,RETAIL BAKERY,2021/10/14 00:00:00,,,LSM THE GRAINWRIGHT,,8047
113904,1637923,FOLLOWUP,LSM THE GRAINWRIGHT,,1001 LOGAN ST STE 116,,LOUISVILLE,KY,40204,RETAIL BAKERY,2021/11/22 00:00:00,,,LSM THE GRAINWRIGHT,,8048
113904,1651633,REGULAR,LSM THE GRAINWRIGHT,,1001 LOGAN ST STE 116,,LOUISVILLE,KY,40204,RETAIL BAKERY,2022/02/13 00:00:00,99,,LSM THE GRAINWRIGHT,,8049
113905,1636315,REGULAR,PENNY & PEARL'S BAKESHOP,,106-B FAIRFAX AVE,,LOUISVILLE,KY,40207,FOOD SERVICE,2021/11/16 00:00:00,100,A,PENNY & PEARL'S BAKESHOP,,8050
113905,1632906,OTHER,PENNY & PEARL'S BAKESHOP,,106-B FAIRFAX AVE,,LOUISVILLE,KY,40207,FOOD SERVICE,2021/10/18 00:00:00,99,,PENNY & PEARL'S BAKESHOP,,8051
113905,1674873,REGULAR,PENNY & PEARL'S BAKESHOP,,106-B FAIRFAX AVE,,LOUISVILLE,KY,40207,FOOD SERVICE,2022/05/25 00:00:00,100,A,PENNY & PEARL'S BAKESHOP,,8052
113906,1632907,OTHER,SCOOTER'S COFFEE,,4703 DIXIE HWY,,LOUISVILLE,KY,40216,FOOD SERVICE,2021/10/20 00:00:00,100,,SCOOTER'S COFFEE,,8053
113906,1636521,REGULAR,SCOOTER'S COFFEE,,4703 DIXIE HWY,,LOUISVILLE,KY,40216,FOOD SERVICE,2021/11/17 00:00:00,98,A,SCOOTER'S COFFEE,,8054
113906,1678483,REGULAR,SCOOTER'S COFFEE,,4703 DIXIE HWY,,LOUISVILLE,KY,40216,FOOD SERVICE,2022/06/09 00:00:00,97,A,SCOOTER'S COFFEE,,8055
113907,1647190,REGULAR,NOBLE HEARTH,,922 S 2ND ST,,LOUISVILLE,KY,40203,FOOD SERVICE,2022/01/19 00:00:00,97,A,NOBLE HEARTH,,8056
113907,1632911,OTHER,NOBLE HEARTH,,922 S 2ND ST,,LOUISVILLE,KY,40203,FOOD SERVICE,2021/10/22 00:00:00,99,,NOBLE HEARTH,,8057
113907,1686086,REGULAR,NOBLE HEARTH,,922 S 2ND ST,,LOUISVILLE,KY,40203,FOOD SERVICE,2022/07/13 00:00:00,98,A,NOBLE HEARTH,,8058
113914,1639279,REGULAR,THA DRIPPIN CRAB,,1219 W JEFFERSON ST,,LOUISVILLE,KY,40203,FOOD SERVICE,2021/12/01 00:00:00,95,A,THA DRIPPIN CRAB,,8059
113914,1633219,OTHER,THA DRIPPIN CRAB,,1219 W JEFFERSON ST,,LOUISVILLE,KY,40203,FOOD SERVICE,2021/10/06 00:00:00,99,,THA DRIPPIN CRAB,,8060
113914,1701727,OFFICE,THA DRIPPIN CRAB,,1219 W JEFFERSON ST,,LOUISVILLE,KY,40203,FOOD SERVICE,2022/08/29 00:00:00,,,THA DRIPPIN CRAB,,8061
113941,1634140,OTHER,MAINSTAY SUITES,,11762 COMMONWEALTH DR,,LOUISVILLE,KY,40299,PRE-PACKAGED RETAIL,2021/09/27 00:00:00,100,,MAINSTAY SUITES,,8062
113941,1635404,REGULAR,MAINSTAY SUITES,,11762 COMMONWEALTH DR,,LOUISVILLE,KY,40299,PRE-PACKAGED RETAIL,2021/11/09 00:00:00,100,,MAINSTAY SUITES,,8063
113943,1634173,REGULAR,MCDONALD'S #7359,,4940 BROWNSBORO RD,,LOUISVILLE,KY,40222,FOOD SERVICE,2021/10/11 00:00:00,96,A,MCDONALD'S #7359,,8064
113943,1634170,OTHER,MCDONALD'S #7359,,4940 BROWNSBORO RD,,LOUISVILLE,KY,40222,FOOD SERVICE,2021/10/11 00:00:00,96,,MCDONALD'S #7359,,8065
113943,1669862,REGULAR,MCDONALD'S #7359,,4940 BROWNSBORO RD,,LOUISVILLE,KY,40222,FOOD SERVICE,2022/05/03 00:00:00,96,A,MCDONALD'S #7359,,8066
113947,1634377,OTHER,PIC PAC,,6629 SOUTHSIDE DR,,LOUISVILLE,KY,40214,SUPERMARKET WITH PROCESSING,2021/10/11 00:00:00,96,,PIC PAC,,8067
113947,1634387,OTHER,PIC PAC,,6629 SOUTHSIDE DR,,LOUISVILLE,KY,40214,SUPERMARKET WITH PROCESSING,2021/10/11 00:00:00,97,,PIC PAC,,8068
113947,1634397,COMPLAINT,PIC PAC,,6629 SOUTHSIDE DR,,LOUISVILLE,KY,40214,SUPERMARKET WITH PROCESSING,2021/10/11 00:00:00,,,PIC PAC,,8069
113947,1638612,FOLLOWUP,PIC PAC,,6629 SOUTHSIDE DR,,LOUISVILLE,KY,40214,SUPERMARKET WITH PROCESSING,2021/11/29 00:00:00,100,A,PIC PAC,,8070
113947,1638613,FOLLOWUP,PIC PAC,,6629 SOUTHSIDE DR,,LOUISVILLE,KY,40214,SUPERMARKET WITH PROCESSING,2021/11/29 00:00:00,100,,PIC PAC,,8071
113947,1637090,REGULAR,PIC PAC,,6629 SOUTHSIDE DR,,LOUISVILLE,KY,40214,SUPERMARKET WITH PROCESSING,2021/11/18 00:00:00,89,C,PIC PAC,,8072
113947,1637091,REGULAR,PIC PAC,,6629 SOUTHSIDE DR,,LOUISVILLE,KY,40214,SUPERMARKET WITH PROCESSING,2021/11/18 00:00:00,94,,PIC PAC,,8073
113947,1655604,SURVEY,PIC PAC,,6629 SOUTHSIDE DR,,LOUISVILLE,KY,40214,SUPERMARKET WITH PROCESSING,2022/02/18 00:00:00,,,PIC PAC,,8074
113947,1678286,COMPLAINT,PIC PAC,,6629 SOUTHSIDE DR,,LOUISVILLE,KY,40214,SUPERMARKET WITH PROCESSING,2022/05/25 00:00:00,,,PIC PAC,,8075
113947,1674885,REGULAR,PIC PAC,,6629 SOUTHSIDE DR,,LOUISVILLE,KY,40214,SUPERMARKET WITH PROCESSING,2022/05/25 00:00:00,100,,PIC PAC,,8076
